Testcase_ID,Natural_Language_Query,Target_Law,Target_Section,Section_Title
39,What does BNS Section 20 say?,BNS,20,Act of a child under seven years of age.
40,What is the section under BNS for act of a child under seven years of age?,BNS,20,Act of a child under seven years of age.
41,Can you explain the offence of act of a child above seven and under twelve years of age of immature understanding in BNS 2023?,BNS,21,Act of a child above seven and under twelve years of age of immature understanding
42,Someone did a act of a child above seven and under twelve years of age of immature understanding. What law applies?,BNS,21,Act of a child above seven and under twelve years of age of immature understanding
43,Can you explain the offence of act of a person of unsound mind in BNS 2023?,BNS,22,Act of a person of unsound mind.
44,Can you explain the offence of act of a person of unsound mind in BNS 2023?,BNS,22,Act of a person of unsound mind.
45,What is the punishment for act of a person incapable of judgment by reason of intoxication caused against his will under the new BNS?,BNS,23,Act of a person incapable of judgment by reason of intoxication caused against his will
46,What does BNS Section 23 say?,BNS,23,Act of a person incapable of judgment by reason of intoxication caused against his will
47,I want to know the legal definition of offence requiring a particular intent or knowledge committed by one who is intoxicated.,BNS,24,Offence requiring a particular intent or knowledge committed by one who is intoxicated
48,I want to know the legal definition of offence requiring a particular intent or knowledge committed by one who is intoxicated.,BNS,24,Offence requiring a particular intent or knowledge committed by one who is intoxicated
49,"I want to know the legal definition of act not intended and not known to be likely to cause death or grievous hurt, done by consent.",BNS,25,"Act not intended and not known to be likely to cause death or grievous hurt, done by consent."
50,"Someone did a act not intended and not known to be likely to cause death or grievous hurt, done by consent. What law applies?",BNS,25,"Act not intended and not known to be likely to cause death or grievous hurt, done by consent."
51,"Someone did a act not intended to cause death, done by consent in good faith for person's benefit. What law applies?",BNS,26,"Act not intended to cause death, done by consent in good faith for person's benefit."
52,"Can you explain the offence of act not intended to cause death, done by consent in good faith for person's benefit in BNS 2023?",BNS,26,"Act not intended to cause death, done by consent in good faith for person's benefit."
53,"Can you explain the offence of act done in good faith for benefit of child or person of unsound mind, by, or by consent of guardian in BNS 2023?",BNS,27,"Act done in good faith for benefit of child or person of unsound mind, by, or by consent of guardian."
54,"Tell me about BNS Section 27 regarding act done in good faith for benefit of child or person of unsound mind, by, or by consent of guardian.",BNS,27,"Act done in good faith for benefit of child or person of unsound mind, by, or by consent of guardian."
55,I want to know the legal definition of consent known to be given under fear or misconception.,BNS,28,Consent known to be given under fear or misconception.
56,I want to know the legal definition of consent known to be given under fear or misconception.,BNS,28,Consent known to be given under fear or misconception.
57,What is the section under BNS for exclusion of acts which are offences independently of harm caused?,BNS,29,Exclusion of acts which are offences independently of harm caused.
58,I want to know the legal definition of exclusion of acts which are offences independently of harm caused.,BNS,29,Exclusion of acts which are offences independently of harm caused.
59,What is the section under BNS for act done in good faith for benefit of a person without consent?,BNS,30,Act done in good faith for benefit of a person without consent.
60,Can you explain the offence of act done in good faith for benefit of a person without consent in BNS 2023?,BNS,30,Act done in good faith for benefit of a person without consent.
61,I want to know the legal definition of communication made in good faith.,BNS,31,Communication made in good faith.
62,What is the section under BNS for communication made in good faith?,BNS,31,Communication made in good faith.
63,Someone did a act to which a person is compelled by threats. What law applies?,BNS,32,Act to which a person is compelled by threats.
64,My friend was accused of act to which a person is compelled by threats. What are the consequences?,BNS,32,Act to which a person is compelled by threats.
65,Tell me about BNS Section 33 regarding act causing slight harm.,BNS,33,Act causing slight harm.
66,Tell me about BNS Section 33 regarding act causing slight harm.,BNS,33,Act causing slight harm.
67,Someone did a things done in private defence. What law applies?,BNS,34,Things done in private defence.
68,My friend was accused of things done in private defence. What are the consequences?,BNS,34,Things done in private defence.
69,Someone did a right of private defence of body and of property. What law applies?,BNS,35,Right of private defence of body and of property.
70,My friend was accused of right of private defence of body and of property. What are the consequences?,BNS,35,Right of private defence of body and of property.
71,"Someone did a right of private defence against act of a person of unsound mind, etc. What law applies?",BNS,36,"Right of private defence against act of a person of unsound mind, etc."
72,"What is the punishment for right of private defence against act of a person of unsound mind, etc under the new BNS?",BNS,36,"Right of private defence against act of a person of unsound mind, etc."
73,Tell me about BNS Section 37 regarding acts against which there is no right of private defence.,BNS,37,Acts against which there is no right of private defence.
74,What is the punishment for acts against which there is no right of private defence under the new BNS?,BNS,37,Acts against which there is no right of private defence.
75,Tell me about BNS Section 38 regarding when right of private defence of body extends to causing death.,BNS,38,When right of private defence of body extends to causing death.
76,Someone did a when right of private defence of body extends to causing death. What law applies?,BNS,38,When right of private defence of body extends to causing death.
77,I want to know the legal definition of when such right extends to causing any harm other than death.,BNS,39,When such right extends to causing any harm other than death.
78,What is the punishment for when such right extends to causing any harm other than death under the new BNS?,BNS,39,When such right extends to causing any harm other than death.
79,My friend was accused of commencement and continuance of right of private defence of body. What are the consequences?,BNS,40,Commencement and continuance of right of private defence of body.
80,Tell me about BNS Section 40 regarding commencement and continuance of right of private defence of body.,BNS,40,Commencement and continuance of right of private defence of body.
81,What does BNS Section 41 say?,BNS,41,When right of private defence of property extends to causing death.
82,What is the section under BNS for when right of private defence of property extends to causing death?,BNS,41,When right of private defence of property extends to causing death.
83,What is the punishment for when such right extends to causing any harm other than death under the new BNS?,BNS,42,When such right extends to causing any harm other than death.
84,I want to know the legal definition of when such right extends to causing any harm other than death.,BNS,42,When such right extends to causing any harm other than death.
85,What is the section under BNS for commencement and continuance of right of private defence of property?,BNS,43,Commencement and continuance of right of private defence of property.
86,Can you explain the offence of commencement and continuance of right of private defence of property in BNS 2023?,BNS,43,Commencement and continuance of right of private defence of property.
87,Tell me about BNS Section 44 regarding right of private defence against deadly assault when there is risk of harm to innocent person.,BNS,44,Right of private defence against deadly assault when there is risk of harm to innocent person.
88,What is the punishment for right of private defence against deadly assault when there is risk of harm to innocent person under the new BNS?,BNS,44,Right of private defence against deadly assault when there is risk of harm to innocent person.
89,Someone did a abetment of a thing. What law applies?,BNS,45,Abetment of a thing.
90,What is the punishment for abetment of a thing under the new BNS?,BNS,45,Abetment of a thing.
91,My friend was accused of abettor. What are the consequences?,BNS,46,Abettor.
92,Someone did a abettor. What law applies?,BNS,46,Abettor.
93,What is the punishment for abetment in india of offences outside india under the new BNS?,BNS,47,Abetment in India of offences outside India.
94,My friend was accused of abetment in india of offences outside india. What are the consequences?,BNS,47,Abetment in India of offences outside India.
95,Can you explain the offence of abetment outside india for offence in india in BNS 2023?,BNS,48,Abetment outside India for offence in India.
96,Can you explain the offence of abetment outside india for offence in india in BNS 2023?,BNS,48,Abetment outside India for offence in India.
97,Tell me about BNS Section 49 regarding punishment of abetment if act abetted is committed in consequence and where no express provision is made for its punishment.,BNS,49,Punishment of abetment if act abetted is committed in consequence and where no express provision is made for its punishment.
98,I want to know the legal definition of punishment of abetment if act abetted is committed in consequence and where no express provision is made for its punishment.,BNS,49,Punishment of abetment if act abetted is committed in consequence and where no express provision is made for its punishment.
99,What does BNS Section 50 say?,BNS,50,Punishment of abetment if person abetted does act with different intention from that of abettor.
100,I want to know the legal definition of punishment of abetment if person abetted does act with different intention from that of abettor.,BNS,50,Punishment of abetment if person abetted does act with different intention from that of abettor.
101,Can you explain the offence of liability of abettor when one act abetted and different act done in BNS 2023?,BNS,51,Liability of abettor when one act abetted and different act done.
102,What is the section under BNS for liability of abettor when one act abetted and different act done?,BNS,51,Liability of abettor when one act abetted and different act done.
103,What does BNS Section 52 say?,BNS,52,Abettor when liable to cumulative punishment for act abetted and for act done
104,What is the punishment for abettor when liable to cumulative punishment for act abetted and for act done under the new BNS?,BNS,52,Abettor when liable to cumulative punishment for act abetted and for act done
105,Can you explain the offence of liability of abettor for an effect caused by act abetted different from that intended by abettor in BNS 2023?,BNS,53,Liability of abettor for an effect caused by act abetted different from that intended by abettor.
106,Tell me about BNS Section 53 regarding liability of abettor for an effect caused by act abetted different from that intended by abettor.,BNS,53,Liability of abettor for an effect caused by act abetted different from that intended by abettor.
107,My friend was accused of abettor present when offence is committed. What are the consequences?,BNS,54,Abettor present when offence is committed.
108,What is the section under BNS for abettor present when offence is committed?,BNS,54,Abettor present when offence is committed.
109,What is the section under BNS for abetment of offence punishable with death or imprisonment for life?,BNS,55,Abetment of offence punishable with death or imprisonment for life.
110,Can you explain the offence of abetment of offence punishable with death or imprisonment for life in BNS 2023?,BNS,55,Abetment of offence punishable with death or imprisonment for life.
111,I want to know the legal definition of abetment of offence punishable with imprisonment.,BNS,56,Abetment of offence punishable with imprisonment.
112,I want to know the legal definition of abetment of offence punishable with imprisonment.,BNS,56,Abetment of offence punishable with imprisonment.
113,What is the punishment for abetting commission of offence by public or by more than ten persons under the new BNS?,BNS,57,Abetting commission of offence by public or by more than ten persons.
114,Can you explain the offence of abetting commission of offence by public or by more than ten persons in BNS 2023?,BNS,57,Abetting commission of offence by public or by more than ten persons.
115,Someone did a concealing design to commit offence punishable with death or imprisonment for life. What law applies?,BNS,58,Concealing design to commit offence punishable with death or imprisonment for life.
116,My friend was accused of concealing design to commit offence punishable with death or imprisonment for life. What are the consequences?,BNS,58,Concealing design to commit offence punishable with death or imprisonment for life.
117,What is the section under BNS for public servant concealing design to commit offence which it is his duty to prevent?,BNS,59,Public servant concealing design to commit offence which it is his duty to prevent.
118,Someone did a public servant concealing design to commit offence which it is his duty to prevent. What law applies?,BNS,59,Public servant concealing design to commit offence which it is his duty to prevent.
119,What does BNS Section 60 say?,BNS,60,Concealing design to commit offence punishable with imprisonment.
120,Can you explain the offence of concealing design to commit offence punishable with imprisonment in BNS 2023?,BNS,60,Concealing design to commit offence punishable with imprisonment.
121,I want to know the legal definition of criminal conspiracy.,BNS,61,Criminal conspiracy.
122,My friend was accused of criminal conspiracy. What are the consequences?,BNS,61,Criminal conspiracy.
123,My friend was accused of punishment for attempting to commit offences punishable with imprisonment for life or other imprisonment. What are the consequences?,BNS,62,Punishment for attempting to commit offences punishable with imprisonment for life or other imprisonment.
124,I want to know the legal definition of punishment for attempting to commit offences punishable with imprisonment for life or other imprisonment.,BNS,62,Punishment for attempting to commit offences punishable with imprisonment for life or other imprisonment.
125,What does BNS say about punishment for rape?,BNS,63,Rape.
126,Definition of sexual assault and rape under the new laws.,BNS,63,Rape.
127,What does BNS say about punishment for rape?,BNS,64,Punishment for rape.
128,What does BNS say about punishment for rape?,BNS,64,Punishment for rape.
129,Section 63 and 64 of Bharatiya Nyaya Sanhita.,BNS,65,Punishment for rape in certain cases
130,What does BNS say about punishment for rape?,BNS,65,Punishment for rape in certain cases
131,I want to know the legal definition of punishment for causing death or resulting in persistent vegetative state of victim.,BNS,66,Punishment for causing death or resulting in persistent vegetative state of victim
132,What does BNS Section 66 say?,BNS,66,Punishment for causing death or resulting in persistent vegetative state of victim
133,What does BNS Section 67 say?,BNS,67,Sexual intercourse by husband upon his wife during separation.
134,What is the punishment for sexual intercourse by husband upon his wife during separation under the new BNS?,BNS,67,Sexual intercourse by husband upon his wife during separation.
135,What is the punishment for sexual intercourse by a person in authority under the new BNS?,BNS,68,Sexual intercourse by a person in authority.
136,What is the section under BNS for sexual intercourse by a person in authority?,BNS,68,Sexual intercourse by a person in authority.
137,"My friend was accused of sexual intercourse by employing deceitful means, etc. What are the consequences?",BNS,69,"Sexual intercourse by employing deceitful means, etc."
138,"What is the section under BNS for sexual intercourse by employing deceitful means, etc?",BNS,69,"Sexual intercourse by employing deceitful means, etc."
139,What does BNS say about punishment for rape?,BNS,70,Gang rape.
140,Definition of sexual assault and rape under the new laws.,BNS,70,Gang rape.
141,What does BNS Section 71 say?,BNS,71,Punishment for repeat offenders.
142,What does BNS Section 71 say?,BNS,71,Punishment for repeat offenders.
143,"Someone did a disclosure of identity of victim of certain offences, etc. What law applies?",BNS,72,"Disclosure of identity of victim of certain offences, etc."
144,"Tell me about BNS Section 72 regarding disclosure of identity of victim of certain offences, etc.",BNS,72,"Disclosure of identity of victim of certain offences, etc."
145,What is the section under BNS for printing or publishing any matter relating to court proceedings without permission?,BNS,73,Printing or publishing any matter relating to Court proceedings without permission.
146,Tell me about BNS Section 73 regarding printing or publishing any matter relating to court proceedings without permission.,BNS,73,Printing or publishing any matter relating to Court proceedings without permission.
147,Tell me about BNS Section 74 regarding assault or use of criminal force to woman with intent to outrage her modesty.,BNS,74,Assault or use of criminal force to woman with intent to outrage her modesty.
148,Can you explain the offence of assault or use of criminal force to woman with intent to outrage her modesty in BNS 2023?,BNS,74,Assault or use of criminal force to woman with intent to outrage her modesty.
149,What does BNS Section 75 say?,BNS,75,Sexual harassment.
150,I want to know the legal definition of sexual harassment.,BNS,75,Sexual harassment.
151,My friend was accused of assault or use of criminal force to woman with intent to disrobe. What are the consequences?,BNS,76,Assault or use of criminal force to woman with intent to disrobe.
152,I want to know the legal definition of assault or use of criminal force to woman with intent to disrobe.,BNS,76,Assault or use of criminal force to woman with intent to disrobe.
153,Can you explain the offence of voyeurism in BNS 2023?,BNS,77,Voyeurism.
154,What is the punishment for voyeurism under the new BNS?,BNS,77,Voyeurism.
155,Tell me about BNS Section 78 regarding stalking.,BNS,78,Stalking
156,What is the section under BNS for stalking?,BNS,78,Stalking
157,"My friend was accused of word, gesture or act intended to insult modesty of a woman. What are the consequences?",BNS,79,"Word, gesture or act intended to insult modesty of a woman."
158,"Tell me about BNS Section 79 regarding word, gesture or act intended to insult modesty of a woman.",BNS,79,"Word, gesture or act intended to insult modesty of a woman."
159,I want to know the legal definition of dowry death.,BNS,80,Dowry death.
160,I want to know the legal definition of dowry death.,BNS,80,Dowry death.
161,Tell me about BNS Section 81 regarding cohabitation caused by man deceitfully inducing belief of lawful marriage.,BNS,81,Cohabitation caused by man deceitfully inducing belief of lawful marriage.
162,Someone did a cohabitation caused by man deceitfully inducing belief of lawful marriage. What law applies?,BNS,81,Cohabitation caused by man deceitfully inducing belief of lawful marriage.
163,Can you explain the offence of marrying again during lifetime of husband or wife in BNS 2023?,BNS,82,Marrying again during lifetime of husband or wife.
164,Tell me about BNS Section 82 regarding marrying again during lifetime of husband or wife.,BNS,82,Marrying again during lifetime of husband or wife.
165,Can you explain the offence of marriage ceremony fraudulently gone through without lawful marriage in BNS 2023?,BNS,83,Marriage ceremony fraudulently gone through without lawful marriage.
166,What is the punishment for marriage ceremony fraudulently gone through without lawful marriage under the new BNS?,BNS,83,Marriage ceremony fraudulently gone through without lawful marriage.
167,What does BNS Section 84 say?,BNS,84,Enticing or taking away or detaining with criminal intent a married woman.
168,What does BNS Section 84 say?,BNS,84,Enticing or taking away or detaining with criminal intent a married woman.
169,Can you explain the offence of husband or relative of husband of a woman subjecting her to cruelty in BNS 2023?,BNS,85,Husband or relative of husband of a woman subjecting her to cruelty.
170,I want to know the legal definition of husband or relative of husband of a woman subjecting her to cruelty.,BNS,85,Husband or relative of husband of a woman subjecting her to cruelty.
171,What is the punishment for cruelty defined under the new BNS?,BNS,86,Cruelty defined.
172,What is the section under BNS for cruelty defined?,BNS,86,Cruelty defined.
173,"What is the punishment for kidnapping, abducting or inducing woman to compel her marriage, etc under the new BNS?",BNS,87,"Kidnapping, abducting or inducing woman to compel her marriage, etc."
174,"I want to know the legal definition of kidnapping, abducting or inducing woman to compel her marriage, etc.",BNS,87,"Kidnapping, abducting or inducing woman to compel her marriage, etc."
175,I want to know the legal definition of causing miscarriage.,BNS,88,Causing miscarriage.
176,I want to know the legal definition of causing miscarriage.,BNS,88,Causing miscarriage.
177,Tell me about BNS Section 89 regarding causing miscarriage without woman's consent.,BNS,89,Causing miscarriage without woman's consent.
178,My friend was accused of causing miscarriage without woman's consent. What are the consequences?,BNS,89,Causing miscarriage without woman's consent.
179,What does BNS Section 90 say?,BNS,90,Death caused by act done with intent to cause miscarriage.
180,What does BNS Section 90 say?,BNS,90,Death caused by act done with intent to cause miscarriage.
181,Can you explain the offence of act done with intent to prevent child being born alive or to cause to die after birth in BNS 2023?,BNS,91,Act done with intent to prevent child being born alive or to cause to die after birth.
182,My friend was accused of act done with intent to prevent child being born alive or to cause to die after birth. What are the consequences?,BNS,91,Act done with intent to prevent child being born alive or to cause to die after birth.
183,What is the section for culpable homicide in BNS?,BNS,92,Causing death of quick unborn child by act amounting to culpable homicide.
184,What is the difference between murder and culpable homicide?,BNS,92,Causing death of quick unborn child by act amounting to culpable homicide.
185,"Someone did a exposure and abandonment of child under twelve years of age, by parent or person having care of it. What law applies?",BNS,93,"Exposure and abandonment of child under twelve years of age, by parent or person having care of it"
186,"What is the section under BNS for exposure and abandonment of child under twelve years of age, by parent or person having care of it?",BNS,93,"Exposure and abandonment of child under twelve years of age, by parent or person having care of it"
187,What does BNS Section 94 say?,BNS,94,Concealment of birth by secret disposal of dead body.
188,Tell me about BNS Section 94 regarding concealment of birth by secret disposal of dead body.,BNS,94,Concealment of birth by secret disposal of dead body.
189,"Tell me about BNS Section 95 regarding hiring, employing or engaging a child to commit an offence.",BNS,95,"Hiring, employing or engaging a child to commit an offence."
190,"Can you explain the offence of hiring, employing or engaging a child to commit an offence in BNS 2023?",BNS,95,"Hiring, employing or engaging a child to commit an offence."
191,Can you explain the offence of procuration of child in BNS 2023?,BNS,96,Procuration of child.
192,Tell me about BNS Section 96 regarding procuration of child.,BNS,96,Procuration of child.
193,What is the punishment for kidnapping or abducting child under ten years of age with intent to steal from its person under the new BNS?,BNS,97,Kidnapping or abducting child under ten years of age with intent to steal from its person
194,Tell me about BNS Section 97 regarding kidnapping or abducting child under ten years of age with intent to steal from its person.,BNS,97,Kidnapping or abducting child under ten years of age with intent to steal from its person
195,"Tell me about BNS Section 98 regarding selling child for purposes of prostitution, etc.",BNS,98,"Selling child for purposes of prostitution, etc."
196,"Tell me about BNS Section 98 regarding selling child for purposes of prostitution, etc.",BNS,98,"Selling child for purposes of prostitution, etc."
197,"What is the section under BNS for buying child for purposes of prostitution, etc?",BNS,99,"Buying child for purposes of prostitution, etc"
198,What does BNS Section 99 say?,BNS,99,"Buying child for purposes of prostitution, etc"
199,Punishment for culpable homicide not amounting to murder.,BNS,100,Culpable homicide.
200,What is the section for culpable homicide in BNS?,BNS,100,Culpable homicide.
201,A person killed someone intentionally. What section is that?,BNS,101,Murder.
202,What is the penalty for committing murder under BNS?,BNS,101,Murder.
203,What is the difference between murder and culpable homicide?,BNS,102,Culpable homicide by causing death of person other than person whose death was intended.
204,What is the section for culpable homicide in BNS?,BNS,102,Culpable homicide by causing death of person other than person whose death was intended.
205,BNS section for murder definition and punishment.,BNS,103,Punishment for murder.
206,What is the penalty for committing murder under BNS?,BNS,103,Punishment for murder.
207,A person killed someone intentionally. What section is that?,BNS,104,Punishment for murder by life-convict
208,What is the penalty for committing murder under BNS?,BNS,104,Punishment for murder by life-convict
209,What is the penalty for committing murder under BNS?,BNS,105,Punishment for culpable homicide not amounting to murder.
210,What is the penalty for committing murder under BNS?,BNS,105,Punishment for culpable homicide not amounting to murder.
211,My friend was accused of causing death by negligence. What are the consequences?,BNS,106,Causing death by negligence.
212,Can you explain the offence of causing death by negligence in BNS 2023?,BNS,106,Causing death by negligence.
213,Can you explain the offence of abetment of suicide of child or person of unsound mind in BNS 2023?,BNS,107,Abetment of suicide of child or person of unsound mind.
214,What is the punishment for abetment of suicide of child or person of unsound mind under the new BNS?,BNS,107,Abetment of suicide of child or person of unsound mind.
215,I want to know the legal definition of abetment of suicide.,BNS,108,Abetment of suicide.
216,My friend was accused of abetment of suicide. What are the consequences?,BNS,108,Abetment of suicide.
217,What is the punishment for attempting to murder someone?,BNS,109,Attempt to murder.
218,Someone tried to kill my brother but he survived. What section is attempt to murder?,BNS,109,Attempt to murder.
219,What is the section for culpable homicide in BNS?,BNS,110,Attempt to commit culpable homicide.
220,Punishment for culpable homicide not amounting to murder.,BNS,110,Attempt to commit culpable homicide.
221,Can you explain the offence of organised crime in BNS 2023?,BNS,111,Organised crime.
222,Can you explain the offence of organised crime in BNS 2023?,BNS,111,Organised crime.
223,I want to know the legal definition of petty organised crime.,BNS,112,Petty organised crime.
224,I want to know the legal definition of petty organised crime.,BNS,112,Petty organised crime.
225,Tell me about BNS Section 113 regarding terrorist act.,BNS,113,Terrorist act.
226,What is the punishment for terrorist act under the new BNS?,BNS,113,Terrorist act.
227,Tell me about BNS Section 114 regarding hurt.,BNS,114,Hurt.
228,I want to know the legal definition of hurt.,BNS,114,Hurt.
229,What is the section under BNS for voluntarily causing hurt?,BNS,115,Voluntarily causing hurt.
230,I want to know the legal definition of voluntarily causing hurt.,BNS,115,Voluntarily causing hurt.
231,Tell me about BNS Section 116 regarding grievous hurt.,BNS,116,Grievous hurt.
232,My friend was accused of grievous hurt. What are the consequences?,BNS,116,Grievous hurt.
233,My friend was accused of voluntarily causing grievous hurt. What are the consequences?,BNS,117,Voluntarily causing grievous hurt.
234,What does BNS Section 117 say?,BNS,117,Voluntarily causing grievous hurt.
235,What is the punishment for voluntarily causing hurt or grievous hurt by dangerous weapons or means under the new BNS?,BNS,118,Voluntarily causing hurt or grievous hurt by dangerous weapons or means.
236,My friend was accused of voluntarily causing hurt or grievous hurt by dangerous weapons or means. What are the consequences?,BNS,118,Voluntarily causing hurt or grievous hurt by dangerous weapons or means.
237,"My friend was accused of voluntarily causing hurt or grievous hurt to extort property, or to constrain to an illegal act. What are the consequences?",BNS,119,"Voluntarily causing hurt or grievous hurt to extort property, or to constrain to an illegal act."
238,"Can you explain the offence of voluntarily causing hurt or grievous hurt to extort property, or to constrain to an illegal act in BNS 2023?",BNS,119,"Voluntarily causing hurt or grievous hurt to extort property, or to constrain to an illegal act."
239,What does BNS Section 120 say?,BNS,120,"Voluntarily causing hurt or grievous hurt to extort confession, or to compel restoration of property."
240,"Tell me about BNS Section 120 regarding voluntarily causing hurt or grievous hurt to extort confession, or to compel restoration of property.",BNS,120,"Voluntarily causing hurt or grievous hurt to extort confession, or to compel restoration of property."
241,Tell me about BNS Section 121 regarding voluntarily causing hurt or grievous hurt to deter public servant from his duty.,BNS,121,Voluntarily causing hurt or grievous hurt to deter public servant from his duty
242,My friend was accused of voluntarily causing hurt or grievous hurt to deter public servant from his duty. What are the consequences?,BNS,121,Voluntarily causing hurt or grievous hurt to deter public servant from his duty
243,Can you explain the offence of voluntarily causing hurt or grievous hurt on provocation in BNS 2023?,BNS,122,Voluntarily causing hurt or grievous hurt on provocation.
244,Someone did a voluntarily causing hurt or grievous hurt on provocation. What law applies?,BNS,122,Voluntarily causing hurt or grievous hurt on provocation.
245,"What is the section under BNS for causing hurt by means of poison, etc., with intent to commit an offence?",BNS,123,"Causing hurt by means of poison, etc., with intent to commit an offence."
246,"Someone did a causing hurt by means of poison, etc., with intent to commit an offence. What law applies?",BNS,123,"Causing hurt by means of poison, etc., with intent to commit an offence."
247,"My friend was accused of voluntarily causing grievous hurt by use of acid, etc. What are the consequences?",BNS,124,"Voluntarily causing grievous hurt by use of acid, etc."
248,"Someone did a voluntarily causing grievous hurt by use of acid, etc. What law applies?",BNS,124,"Voluntarily causing grievous hurt by use of acid, etc."
249,My friend was accused of act endangering life or personal safety of others. What are the consequences?,BNS,125,Act endangering life or personal safety of others.
250,Someone did a act endangering life or personal safety of others. What law applies?,BNS,125,Act endangering life or personal safety of others.
251,I want to know the legal definition of wrongful restraint.,BNS,126,Wrongful restraint.
252,Tell me about BNS Section 126 regarding wrongful restraint.,BNS,126,Wrongful restraint.
253,Can you explain the offence of wrongful confinement in BNS 2023?,BNS,127,Wrongful confinement.
254,What is the punishment for wrongful confinement under the new BNS?,BNS,127,Wrongful confinement.
255,Tell me about BNS Section 128 regarding force.,BNS,128,Force.
256,Can you explain the offence of force in BNS 2023?,BNS,128,Force.
257,Tell me about BNS Section 129 regarding criminal force.,BNS,129,Criminal force.
258,Someone did a criminal force. What law applies?,BNS,129,Criminal force.
259,What does BNS Section 130 say?,BNS,130,Assault.
260,Can you explain the offence of assault in BNS 2023?,BNS,130,Assault.
