Testcase_ID,Pure_Natural_Language_Query,Target_Law,Target_Section,Section_Title
79,What is the punishment for commencement and continuance of right of private defence of body?,BNS,40,Commencement and continuance of right of private defence of body.
80,My friend was accused of commencement and continuance of right of private defence of body. What are the consequences?,BNS,40,Commencement and continuance of right of private defence of body.
81,What happens if someone commits when right of private defence of property extends to causing death?,BNS,41,When right of private defence of property extends to causing death.
82,What happens if someone commits when right of private defence of property extends to causing death?,BNS,41,When right of private defence of property extends to causing death.
83,Is when such right extends to causing any harm other than death considered a crime?,BNS,42,When such right extends to causing any harm other than death.
84,Can you explain the offence of when such right extends to causing any harm other than death?,BNS,42,When such right extends to causing any harm other than death.
85,Is commencement and continuance of right of private defence of property considered a crime?,BNS,43,Commencement and continuance of right of private defence of property.
86,Is commencement and continuance of right of private defence of property considered a crime?,BNS,43,Commencement and continuance of right of private defence of property.
87,Can you explain the offence of right of private defence against deadly assault when there is risk of harm to innocent person?,BNS,44,Right of private defence against deadly assault when there is risk of harm to innocent person.
88,What is the punishment for right of private defence against deadly assault when there is risk of harm to innocent person?,BNS,44,Right of private defence against deadly assault when there is risk of harm to innocent person.
89,Can you explain the offence of abetment of a thing?,BNS,45,Abetment of a thing.
90,What is the legal definition of abetment of a thing?,BNS,45,Abetment of a thing.
91,My friend was accused of abettor. What are the consequences?,BNS,46,Abettor.
92,What is the punishment for abettor?,BNS,46,Abettor.
93,My friend was accused of abetment in india of offences outside india. What are the consequences?,BNS,47,Abetment in India of offences outside India.
94,Can you explain the offence of abetment in india of offences outside india?,BNS,47,Abetment in India of offences outside India.
95,What is the punishment for abetment outside india for offence in india?,BNS,48,Abetment outside India for offence in India.
96,What is the punishment for abetment outside india for offence in india?,BNS,48,Abetment outside India for offence in India.
97,Can you explain the offence of punishment of abetment if act abetted is committed in consequence and where no express provision is made for its punishment?,BNS,49,Punishment of abetment if act abetted is committed in consequence and where no express provision is made for its punishment.
98,My friend was accused of punishment of abetment if act abetted is committed in consequence and where no express provision is made for its punishment. What are the consequences?,BNS,49,Punishment of abetment if act abetted is committed in consequence and where no express provision is made for its punishment.
99,My friend was accused of punishment of abetment if person abetted does act with different intention from that of abettor. What are the consequences?,BNS,50,Punishment of abetment if person abetted does act with different intention from that of abettor.
100,What is the legal definition of punishment of abetment if person abetted does act with different intention from that of abettor?,BNS,50,Punishment of abetment if person abetted does act with different intention from that of abettor.
101,Can you explain the offence of liability of abettor when one act abetted and different act done?,BNS,51,Liability of abettor when one act abetted and different act done.
102,My friend was accused of liability of abettor when one act abetted and different act done. What are the consequences?,BNS,51,Liability of abettor when one act abetted and different act done.
103,What is the punishment for abettor when liable to cumulative punishment for act abetted and for act done?,BNS,52,Abettor when liable to cumulative punishment for act abetted and for act done
104,What happens if someone commits abettor when liable to cumulative punishment for act abetted and for act done?,BNS,52,Abettor when liable to cumulative punishment for act abetted and for act done
105,My friend was accused of liability of abettor for an effect caused by act abetted different from that intended by abettor. What are the consequences?,BNS,53,Liability of abettor for an effect caused by act abetted different from that intended by abettor.
106,What happens if someone commits liability of abettor for an effect caused by act abetted different from that intended by abettor?,BNS,53,Liability of abettor for an effect caused by act abetted different from that intended by abettor.
107,What is the punishment for abettor present when offence is committed?,BNS,54,Abettor present when offence is committed.
108,What happens if someone commits abettor present when offence is committed?,BNS,54,Abettor present when offence is committed.
109,Is abetment of offence punishable with death or imprisonment for life considered a crime?,BNS,55,Abetment of offence punishable with death or imprisonment for life.
110,Is abetment of offence punishable with death or imprisonment for life considered a crime?,BNS,55,Abetment of offence punishable with death or imprisonment for life.
111,Can you explain the offence of abetment of offence punishable with imprisonment?,BNS,56,Abetment of offence punishable with imprisonment.
112,What is the legal definition of abetment of offence punishable with imprisonment?,BNS,56,Abetment of offence punishable with imprisonment.
113,What happens if someone commits abetting commission of offence by public or by more than ten persons?,BNS,57,Abetting commission of offence by public or by more than ten persons.
114,Can you explain the offence of abetting commission of offence by public or by more than ten persons?,BNS,57,Abetting commission of offence by public or by more than ten persons.
115,What is the punishment for concealing design to commit offence punishable with death or imprisonment for life?,BNS,58,Concealing design to commit offence punishable with death or imprisonment for life.
116,Is concealing design to commit offence punishable with death or imprisonment for life considered a crime?,BNS,58,Concealing design to commit offence punishable with death or imprisonment for life.
117,What is the punishment for public servant concealing design to commit offence which it is his duty to prevent?,BNS,59,Public servant concealing design to commit offence which it is his duty to prevent.
118,Is public servant concealing design to commit offence which it is his duty to prevent considered a crime?,BNS,59,Public servant concealing design to commit offence which it is his duty to prevent.
119,My friend was accused of concealing design to commit offence punishable with imprisonment. What are the consequences?,BNS,60,Concealing design to commit offence punishable with imprisonment.
120,What happens if someone commits concealing design to commit offence punishable with imprisonment?,BNS,60,Concealing design to commit offence punishable with imprisonment.
121,What is the punishment for criminal conspiracy?,BNS,61,Criminal conspiracy.
122,Is criminal conspiracy considered a crime?,BNS,61,Criminal conspiracy.
123,My friend was accused of punishment for attempting to commit offences punishable with imprisonment for life or other imprisonment. What are the consequences?,BNS,62,Punishment for attempting to commit offences punishable with imprisonment for life or other imprisonment.
124,Can you explain the offence of punishment for attempting to commit offences punishable with imprisonment for life or other imprisonment?,BNS,62,Punishment for attempting to commit offences punishable with imprisonment for life or other imprisonment.
125,What is the definition of sexual assault and rape under the new laws?,BNS,63,Rape.
126,What is the punishment for committing rape?,BNS,63,Rape.
127,What is the definition of sexual assault and rape under the new laws?,BNS,64,Punishment for rape.
128,What is the punishment for committing rape?,BNS,64,Punishment for rape.
129,What does the law say about gang rape?,BNS,65,Punishment for rape in certain cases
130,What is the definition of sexual assault and rape under the new laws?,BNS,65,Punishment for rape in certain cases
131,Can you explain the offence of punishment for causing death or resulting in persistent vegetative state of victim?,BNS,66,Punishment for causing death or resulting in persistent vegetative state of victim
132,What happens if someone commits punishment for causing death or resulting in persistent vegetative state of victim?,BNS,66,Punishment for causing death or resulting in persistent vegetative state of victim
133,What happens if someone commits sexual intercourse by husband upon his wife during separation?,BNS,67,Sexual intercourse by husband upon his wife during separation.
134,Is sexual intercourse by husband upon his wife during separation considered a crime?,BNS,67,Sexual intercourse by husband upon his wife during separation.
135,Is sexual intercourse by a person in authority considered a crime?,BNS,68,Sexual intercourse by a person in authority.
136,Can you explain the offence of sexual intercourse by a person in authority?,BNS,68,Sexual intercourse by a person in authority.
137,"What is the legal definition of sexual intercourse by employing deceitful means, etc?",BNS,69,"Sexual intercourse by employing deceitful means, etc."
138,"Can you explain the offence of sexual intercourse by employing deceitful means, etc?",BNS,69,"Sexual intercourse by employing deceitful means, etc."
139,What does the law say about gang rape?,BNS,70,Gang rape.
140,What is the definition of sexual assault and rape under the new laws?,BNS,70,Gang rape.
141,What is the legal definition of punishment for repeat offenders?,BNS,71,Punishment for repeat offenders.
142,Is punishment for repeat offenders considered a crime?,BNS,71,Punishment for repeat offenders.
143,"What is the legal definition of disclosure of identity of victim of certain offences, etc?",BNS,72,"Disclosure of identity of victim of certain offences, etc."
144,"What happens if someone commits disclosure of identity of victim of certain offences, etc?",BNS,72,"Disclosure of identity of victim of certain offences, etc."
145,Can you explain the offence of printing or publishing any matter relating to court proceedings without permission?,BNS,73,Printing or publishing any matter relating to Court proceedings without permission.
146,Can you explain the offence of printing or publishing any matter relating to court proceedings without permission?,BNS,73,Printing or publishing any matter relating to Court proceedings without permission.
147,Can you explain the offence of assault or use of criminal force to woman with intent to outrage her modesty?,BNS,74,Assault or use of criminal force to woman with intent to outrage her modesty.
148,Can you explain the offence of assault or use of criminal force to woman with intent to outrage her modesty?,BNS,74,Assault or use of criminal force to woman with intent to outrage her modesty.
149,My friend was accused of sexual harassment. What are the consequences?,BNS,75,Sexual harassment.
150,Is sexual harassment considered a crime?,BNS,75,Sexual harassment.
151,My friend was accused of assault or use of criminal force to woman with intent to disrobe. What are the consequences?,BNS,76,Assault or use of criminal force to woman with intent to disrobe.
152,My friend was accused of assault or use of criminal force to woman with intent to disrobe. What are the consequences?,BNS,76,Assault or use of criminal force to woman with intent to disrobe.
153,What is the legal definition of voyeurism?,BNS,77,Voyeurism.
154,What happens if someone commits voyeurism?,BNS,77,Voyeurism.
155,Can you explain the offence of stalking?,BNS,78,Stalking
156,My friend was accused of stalking. What are the consequences?,BNS,78,Stalking
157,"What is the legal definition of word, gesture or act intended to insult modesty of a woman?",BNS,79,"Word, gesture or act intended to insult modesty of a woman."
158,"What is the punishment for word, gesture or act intended to insult modesty of a woman?",BNS,79,"Word, gesture or act intended to insult modesty of a woman."
159,What happens if someone commits dowry death?,BNS,80,Dowry death.
160,What is the punishment for dowry death?,BNS,80,Dowry death.
161,Can you explain the offence of cohabitation caused by man deceitfully inducing belief of lawful marriage?,BNS,81,Cohabitation caused by man deceitfully inducing belief of lawful marriage.
162,Is cohabitation caused by man deceitfully inducing belief of lawful marriage considered a crime?,BNS,81,Cohabitation caused by man deceitfully inducing belief of lawful marriage.
163,What is the legal definition of marrying again during lifetime of husband or wife?,BNS,82,Marrying again during lifetime of husband or wife.
164,Can you explain the offence of marrying again during lifetime of husband or wife?,BNS,82,Marrying again during lifetime of husband or wife.
165,What is the legal definition of marriage ceremony fraudulently gone through without lawful marriage?,BNS,83,Marriage ceremony fraudulently gone through without lawful marriage.
166,My friend was accused of marriage ceremony fraudulently gone through without lawful marriage. What are the consequences?,BNS,83,Marriage ceremony fraudulently gone through without lawful marriage.
167,What happens if someone commits enticing or taking away or detaining with criminal intent a married woman?,BNS,84,Enticing or taking away or detaining with criminal intent a married woman.
168,What happens if someone commits enticing or taking away or detaining with criminal intent a married woman?,BNS,84,Enticing or taking away or detaining with criminal intent a married woman.
169,What is the legal definition of husband or relative of husband of a woman subjecting her to cruelty?,BNS,85,Husband or relative of husband of a woman subjecting her to cruelty.
170,My friend was accused of husband or relative of husband of a woman subjecting her to cruelty. What are the consequences?,BNS,85,Husband or relative of husband of a woman subjecting her to cruelty.
171,Can you explain the offence of cruelty defined?,BNS,86,Cruelty defined.
172,What is the punishment for cruelty defined?,BNS,86,Cruelty defined.
173,"Can you explain the offence of kidnapping, abducting or inducing woman to compel her marriage, etc?",BNS,87,"Kidnapping, abducting or inducing woman to compel her marriage, etc."
174,"Can you explain the offence of kidnapping, abducting or inducing woman to compel her marriage, etc?",BNS,87,"Kidnapping, abducting or inducing woman to compel her marriage, etc."
175,Can you explain the offence of causing miscarriage?,BNS,88,Causing miscarriage.
176,What is the legal definition of causing miscarriage?,BNS,88,Causing miscarriage.
177,What is the legal definition of causing miscarriage without woman's consent?,BNS,89,Causing miscarriage without woman's consent.
178,Can you explain the offence of causing miscarriage without woman's consent?,BNS,89,Causing miscarriage without woman's consent.
179,What is the punishment for death caused by act done with intent to cause miscarriage?,BNS,90,Death caused by act done with intent to cause miscarriage.
180,Can you explain the offence of death caused by act done with intent to cause miscarriage?,BNS,90,Death caused by act done with intent to cause miscarriage.
181,Can you explain the offence of act done with intent to prevent child being born alive or to cause to die after birth?,BNS,91,Act done with intent to prevent child being born alive or to cause to die after birth.
182,My friend was accused of act done with intent to prevent child being born alive or to cause to die after birth. What are the consequences?,BNS,91,Act done with intent to prevent child being born alive or to cause to die after birth.
183,What is the difference between murder and culpable homicide?,BNS,92,Causing death of quick unborn child by act amounting to culpable homicide.
184,What is the definition of culpable homicide?,BNS,92,Causing death of quick unborn child by act amounting to culpable homicide.
185,"What is the punishment for exposure and abandonment of child under twelve years of age, by parent or person having care of it?",BNS,93,"Exposure and abandonment of child under twelve years of age, by parent or person having care of it"
186,"What is the legal definition of exposure and abandonment of child under twelve years of age, by parent or person having care of it?",BNS,93,"Exposure and abandonment of child under twelve years of age, by parent or person having care of it"
187,What is the legal definition of concealment of birth by secret disposal of dead body?,BNS,94,Concealment of birth by secret disposal of dead body.
188,Is concealment of birth by secret disposal of dead body considered a crime?,BNS,94,Concealment of birth by secret disposal of dead body.
189,"What is the legal definition of hiring, employing or engaging a child to commit an offence?",BNS,95,"Hiring, employing or engaging a child to commit an offence."
190,"Is hiring, employing or engaging a child to commit an offence considered a crime?",BNS,95,"Hiring, employing or engaging a child to commit an offence."
191,What is the legal definition of procuration of child?,BNS,96,Procuration of child.
192,Can you explain the offence of procuration of child?,BNS,96,Procuration of child.
193,My friend was accused of kidnapping or abducting child under ten years of age with intent to steal from its person. What are the consequences?,BNS,97,Kidnapping or abducting child under ten years of age with intent to steal from its person
194,Is kidnapping or abducting child under ten years of age with intent to steal from its person considered a crime?,BNS,97,Kidnapping or abducting child under ten years of age with intent to steal from its person
195,"Is selling child for purposes of prostitution, etc considered a crime?",BNS,98,"Selling child for purposes of prostitution, etc."
196,"What is the punishment for selling child for purposes of prostitution, etc?",BNS,98,"Selling child for purposes of prostitution, etc."
197,"What happens if someone commits buying child for purposes of prostitution, etc?",BNS,99,"Buying child for purposes of prostitution, etc"
198,"Can you explain the offence of buying child for purposes of prostitution, etc?",BNS,99,"Buying child for purposes of prostitution, etc"
199,What is the definition of culpable homicide?,BNS,100,Culpable homicide.
200,What is the difference between murder and culpable homicide?,BNS,100,Culpable homicide.
201,What is the definition and punishment for murder?,BNS,101,Murder.
202,What is the penalty for committing murder?,BNS,101,Murder.
203,What is the definition of culpable homicide?,BNS,102,Culpable homicide by causing death of person other than person whose death was intended.
204,What is the difference between murder and culpable homicide?,BNS,102,Culpable homicide by causing death of person other than person whose death was intended.
205,A person killed someone intentionally. What is that crime?,BNS,103,Punishment for murder.
206,A person killed someone intentionally. What is that crime?,BNS,103,Punishment for murder.
207,What is the penalty for committing murder?,BNS,104,Punishment for murder by life-convict
208,What is the definition and punishment for murder?,BNS,104,Punishment for murder by life-convict
209,What is the definition and punishment for murder?,BNS,105,Punishment for culpable homicide not amounting to murder.
210,What is the definition and punishment for murder?,BNS,105,Punishment for culpable homicide not amounting to murder.
211,What is the punishment for causing death by negligence?,BNS,106,Causing death by negligence.
212,What is the punishment for causing death by negligence?,BNS,106,Causing death by negligence.
213,My friend was accused of abetment of suicide of child or person of unsound mind. What are the consequences?,BNS,107,Abetment of suicide of child or person of unsound mind.
214,Can you explain the offence of abetment of suicide of child or person of unsound mind?,BNS,107,Abetment of suicide of child or person of unsound mind.
215,My friend was accused of abetment of suicide. What are the consequences?,BNS,108,Abetment of suicide.
216,What is the punishment for abetment of suicide?,BNS,108,Abetment of suicide.
217,Someone tried to kill my brother but he survived. What is the crime?,BNS,109,Attempt to murder.
218,What is the punishment for attempting to murder someone?,BNS,109,Attempt to murder.
219,What is the difference between murder and culpable homicide?,BNS,110,Attempt to commit culpable homicide.
220,What is the definition of culpable homicide?,BNS,110,Attempt to commit culpable homicide.
221,What is the punishment for organised crime?,BNS,111,Organised crime.
222,What happens if someone commits organised crime?,BNS,111,Organised crime.
223,What is the punishment for petty organised crime?,BNS,112,Petty organised crime.
224,What is the legal definition of petty organised crime?,BNS,112,Petty organised crime.
225,What is the punishment for terrorist act?,BNS,113,Terrorist act.
226,My friend was accused of terrorist act. What are the consequences?,BNS,113,Terrorist act.
227,What is the punishment for hurt?,BNS,114,Hurt.
228,What is the legal definition of hurt?,BNS,114,Hurt.
229,Is voluntarily causing hurt considered a crime?,BNS,115,Voluntarily causing hurt.
230,Can you explain the offence of voluntarily causing hurt?,BNS,115,Voluntarily causing hurt.
231,Is grievous hurt considered a crime?,BNS,116,Grievous hurt.
232,Can you explain the offence of grievous hurt?,BNS,116,Grievous hurt.
233,What happens if someone commits voluntarily causing grievous hurt?,BNS,117,Voluntarily causing grievous hurt.
234,My friend was accused of voluntarily causing grievous hurt. What are the consequences?,BNS,117,Voluntarily causing grievous hurt.
235,What happens if someone commits voluntarily causing hurt or grievous hurt by dangerous weapons or means?,BNS,118,Voluntarily causing hurt or grievous hurt by dangerous weapons or means.
236,Can you explain the offence of voluntarily causing hurt or grievous hurt by dangerous weapons or means?,BNS,118,Voluntarily causing hurt or grievous hurt by dangerous weapons or means.
237,"What is the punishment for voluntarily causing hurt or grievous hurt to extort property, or to constrain to an illegal act?",BNS,119,"Voluntarily causing hurt or grievous hurt to extort property, or to constrain to an illegal act."
238,"What is the punishment for voluntarily causing hurt or grievous hurt to extort property, or to constrain to an illegal act?",BNS,119,"Voluntarily causing hurt or grievous hurt to extort property, or to constrain to an illegal act."
239,"Can you explain the offence of voluntarily causing hurt or grievous hurt to extort confession, or to compel restoration of property?",BNS,120,"Voluntarily causing hurt or grievous hurt to extort confession, or to compel restoration of property."
240,"Can you explain the offence of voluntarily causing hurt or grievous hurt to extort confession, or to compel restoration of property?",BNS,120,"Voluntarily causing hurt or grievous hurt to extort confession, or to compel restoration of property."
241,My friend was accused of voluntarily causing hurt or grievous hurt to deter public servant from his duty. What are the consequences?,BNS,121,Voluntarily causing hurt or grievous hurt to deter public servant from his duty
242,Can you explain the offence of voluntarily causing hurt or grievous hurt to deter public servant from his duty?,BNS,121,Voluntarily causing hurt or grievous hurt to deter public servant from his duty
243,What is the punishment for voluntarily causing hurt or grievous hurt on provocation?,BNS,122,Voluntarily causing hurt or grievous hurt on provocation.
244,What happens if someone commits voluntarily causing hurt or grievous hurt on provocation?,BNS,122,Voluntarily causing hurt or grievous hurt on provocation.
245,"Is causing hurt by means of poison, etc., with intent to commit an offence considered a crime?",BNS,123,"Causing hurt by means of poison, etc., with intent to commit an offence."
246,"What happens if someone commits causing hurt by means of poison, etc., with intent to commit an offence?",BNS,123,"Causing hurt by means of poison, etc., with intent to commit an offence."
247,"What is the punishment for voluntarily causing grievous hurt by use of acid, etc?",BNS,124,"Voluntarily causing grievous hurt by use of acid, etc."
248,"My friend was accused of voluntarily causing grievous hurt by use of acid, etc. What are the consequences?",BNS,124,"Voluntarily causing grievous hurt by use of acid, etc."
249,What is the legal definition of act endangering life or personal safety of others?,BNS,125,Act endangering life or personal safety of others.
250,My friend was accused of act endangering life or personal safety of others. What are the consequences?,BNS,125,Act endangering life or personal safety of others.
251,Can you explain the offence of wrongful restraint?,BNS,126,Wrongful restraint.
252,Is wrongful restraint considered a crime?,BNS,126,Wrongful restraint.
253,What is the punishment for wrongful confinement?,BNS,127,Wrongful confinement.
254,What is the punishment for wrongful confinement?,BNS,127,Wrongful confinement.
255,What is the legal definition of force?,BNS,128,Force.
256,Can you explain the offence of force?,BNS,128,Force.
257,My friend was accused of criminal force. What are the consequences?,BNS,129,Criminal force.
258,What is the legal definition of criminal force?,BNS,129,Criminal force.
259,Is assault considered a crime?,BNS,130,Assault.
260,My friend was accused of assault. What are the consequences?,BNS,130,Assault.
261,What is the legal definition of punishment for assault or criminal force otherwise than on grave provocation?,BNS,131,Punishment for assault or criminal force otherwise than on grave provocation.
262,What is the legal definition of punishment for assault or criminal force otherwise than on grave provocation?,BNS,131,Punishment for assault or criminal force otherwise than on grave provocation.
263,Can you explain the offence of assault or criminal force to deter public servant from discharge of his duty?,BNS,132,Assault or criminal force to deter public servant from discharge of his duty.
264,What happens if someone commits assault or criminal force to deter public servant from discharge of his duty?,BNS,132,Assault or criminal force to deter public servant from discharge of his duty.
265,"Is assault or criminal force with intent to dishonour person, otherwise than on grave provocation considered a crime?",BNS,133,"Assault or criminal force with intent to dishonour person, otherwise than on grave provocation."
266,"What is the legal definition of assault or criminal force with intent to dishonour person, otherwise than on grave provocation?",BNS,133,"Assault or criminal force with intent to dishonour person, otherwise than on grave provocation."
267,What is the punishment for stealing a laptop?,BNS,134,Assault or criminal force in attempt to commit theft of property carried by a person.
268,A pickpocket took my wallet. Which section applies?,BNS,134,Assault or criminal force in attempt to commit theft of property carried by a person.
269,What is the legal definition of assault or criminal force in attempt to wrongfully confine a person?,BNS,135,Assault or criminal force in attempt to wrongfully confine a person.
